Date,Price,Open,High,Low,Vol.,Change %
07/20/2020,"1,589.45","1,607.35","1,609.02","1,580.39",136.29M,-0.43%
07/17/2020,"1,596.33","1,563.01","1,599.59","1,563.01",181.78M,2.00%
07/16/2020,"1,565.00","1,583.32","1,599.53","1,572.11",88.81M,-1.30%
07/15/2020,"1,585.56","1,601.52","1,605.26","1,585.56",133.79M,-0.83%
07/14/2020,"1,598.75","1,608.28","1,617.36","1,577.33",144.74M,-0.48%
07/13/2020,"1,606.43","1,596.40","1,608.34","1,595.75",136.03M,0.92%
07/10/2020,"1,591.84","1,578.92","1,591.84","1,574.08",145.11M,0.54%
07/09/2020,"1,583.25","1,583.94","1,590.63","1,579.90",164.87M,-0.02%
07/08/2020,"1,583.50","1,562.08","1,584.67","1,562.08",127.42M,1.07%
07/07/2020,"1,566.72","1,582.03","1,587.64","1,562.88",152.25M,-0.65%
07/06/2020,"1,576.90","1,553.79","1,577.82","1,553.79",120.13M,1.56%
07/03/2020,"1,552.65","1,543.48","1,552.65","1,538.16",85.87M,1.07%
07/02/2020,"1,536.28","1,514.78","1,536.36","1,513.21",132.43M,1.44%
07/01/2020,"1,514.43","1,503.93","1,517.01","1,497.54",114.83M,0.90%
06/30/2020,"1,500.97","1,493.41","1,509.12","1,492.07",140.82M,0.44%
06/29/2020,"1,494.43","1,485.19","1,494.97","1,476.28",104.82M,0.42%
06/26/2020,"1,488.14","1,491.97","1,495.57","1,483.05",94.46M,-0.07%
06/25/2020,"1,489.20","1,494.44","1,498.61","1,484.40",93.46M,-0.89%
06/24/2020,"1,502.63","1,507.38","1,507.38","1,496.99",92.44M,-0.29%
06/23/2020,"1,507.04","1,511.15","1,511.54","1,492.32",109.47M,-0.28%
06/22/2020,"1,511.24","1,505.95","1,511.65","1,502.64",98.22M,0.26%
06/19/2020,"1,507.26","1,497.96","1,512.94","1,496.79",254.83M,0.16%
06/18/2020,"1,504.91","1,524.51","1,525.69","1,503.35",200.98M,-1.40%
06/17/2020,"1,526.32","1,527.98","1,528.63","1,510.71",154.68M,0.57%
06/16/2020,"1,517.71","1,518.92","1,528.76","1,517.47",143.66M,1.26%
06/15/2020,"1,498.83","1,548.05","1,548.05","1,490.44",218.57M,-3.05%
06/12/2020,"1,546.02","1,512.39","1,546.02","1,509.16",186.03M,-0.72%
06/11/2020,"1,557.25","1,577.65","1,586.22","1,550.90",212.29M,-1.14%
06/10/2020,"1,575.27","1,576.26","1,578.10","1,570.45",165.21M,0.01%
06/09/2020,"1,575.16","1,572.80","1,590.83","1,567.97",290.83M,1.21%
06/05/2020,"1,556.33","1,561.17","1,564.13","1,547.57",189.45M,-0.35%
06/04/2020,"1,561.84","1,541.69","1,561.84","1,541.50",261.50M,1.52%
06/03/2020,"1,538.53","1,515.68","1,542.01","1,492.34",292.94M,2.05%
06/02/2020,"1,507.69","1,484.51","1,509.74","1,480.17",225.47M,1.18%
06/01/2020,"1,490.14","1,474.86","1,492.55","1,473.55",183.65M,1.15%
05/29/2020,"1,473.25","1,450.54","1,473.77","1,448.84",595.84M,1.08%
05/28/2020,"1,457.50","1,453.53","1,458.73","1,449.25",189.53M,0.40%
05/27/2020,"1,451.73","1,446.91","1,458.24","1,446.42",189.84M,1.04%
05/22/2020,"1,436.76","1,451.37","1,451.44","1,435.23",144.05M,-1.06%
05/21/2020,"1,452.11","1,437.49","1,455.13","1,437.13",168.06M,1.18%
05/20/2020,"1,435.12","1,429.26","1,435.12","1,420.18",101.43M,0.78%
05/19/2020,"1,423.97","1,419.77","1,428.12","1,418.76",171.87M,0.98%
05/18/2020,"1,410.16","1,409.39","1,416.94","1,405.65",100.01M,0.48%
05/15/2020,"1,403.44","1,403.47","1,408.19","1,398.71",114.46M,0.44%
05/14/2020,"1,397.25","1,400.34","1,411.08","1,388.80",180.10M,0.01%
05/13/2020,"1,397.13","1,383.22","1,400.67","1,379.10",186.89M,1.25%
05/12/2020,"1,379.93","1,379.44","1,388.41","1,377.56",139.62M,-0.17%
05/08/2020,"1,382.31","1,382.12","1,392.23","1,382.02",127.07M,0.39%
05/06/2020,"1,376.93","1,387.75","1,393.56","1,376.93",105.30M,-0.91%
05/05/2020,"1,389.55","1,378.75","1,398.07","1,378.75",79.91M,0.94%
05/04/2020,"1,376.59","1,388.83","1,388.83","1,375.39",116.49M,-2.22%
