Price,Open,High,Low,Vol.,Change %
1629.22,1622.37,1632.6,1621.86,128009999.99999999,0.0040999999999999995
1618.83,1628.16,1628.65,1618.32,149770000.0,-0.0064
1600.92,1616.12,1618.06,1600.92,142480000.0,-0.0111
1625.21,1609.4,1626.49,1609.4,147210000.0,0.0152
1625.21,1609.4,1626.49,1609.4,147210000.0,0.0
1626.66,1627.29,1627.44,1618.26,127040000.0,0.0009
1631.54,1627.3,1640.84,1627.3,123920000.0,0.003
1634.53,1631.48,1639.03,1626.4,235410000.0,0.0018
1667.8,1635.34,1667.8,1631.62,412280000.0,0.0204
1653.18,1663.99,1666.51,1651.29,222930000.0,-0.0088
1633.3,1636.66,1642.53,1631.11,143320000.0,-0.012
1656.77,1638.09,1656.82,1638.09,171490000.0,0.0144
1662.46,1654.6,1663.77,1653.68,138210000.0,0.0034000000000000002
1644.41,1670.93,1670.93,1644.41,92410000.0,-0.0109
1643.95,1644.6,1645.5,1638.88,106500000.0,-0.0003
1643.74,1643.66,1648.7,1638.5,125270000.0,-0.0001
1649.96,1652.65,1661.34,1648.46,119400000.0,0.0038
1664.99,1651.43,1664.99,1651.35,142560000.0,0.0091
1664.32,1658.75,1669.02,1658.27,112010000.0,-0.0004
1680.02,1665.8,1685.65,1665.8,155660000.0,0.009399999999999999
1674.88,1673.84,1685.23,1673.84,121710000.0,-0.0031
1674.59,1671.41,1679.96,1670.47,110630000.0,-0.0002
1677.28,1674.88,1685.88,1674.2,120310000.0,0.0016
1664.17,1676.43,1677.24,1664.17,111280000.0,-0.0078000000000000005
1658.16,1664.97,1672.56,1658.16,148610000.0,-0.0036
1663.44,1664.84,1665.64,1658.36,154440000.0,0.0032
1654.75,1661.98,1664.11,1651.55,195360000.0,-0.0052
1670.82,1658.42,1670.82,1655.47,115270000.0,0.0097
1691.03,1674.65,1691.03,1674.65,193300000.0,0.0121
1688.2,1694.08,1699.96,1684.32,177070000.0,-0.0017000000000000001
1692.49,1686.48,1700.49,1685.73,169310000.0,0.0025
1697.93,1696.11,1710.2,1694.09,166610000.0,0.0032
1687.86,1700.82,1706.08,1684.53,131210000.00000001,-0.0059
1686.35,1681.31,1686.35,1676.93,112130000.0,-0.0009
1690.91,1684.69,1694.33,1684.1,119840000.0,0.0027
1696.54,1688.8,1698.15,1688.11,112090000.0,0.0033
1700.31,1696.2,1708.1,1695.95,107010000.0,0.0022
1690.92,1695.61,1699.44,1689.33,110250000.0,-0.0055000000000000005
1693.43,1692.16,1697.26,1689.35,103700000.0,0.0015
1703.19,1696.62,1708.62,1695.86,177080000.0,0.0058
1716.34,1709.13,1716.34,1705.62,223930000.0,0.0077
1718.36,1714.36,1718.36,1707.11,150730000.0,0.0012
1724.75,1716.7,1724.75,1715.79,194420000.0,0.0037
1724.55,1721.5,1726.55,1716.43,191360000.0,-0.0001
1715.53,1715.38,1720.98,1710.87,123570000.0,-0.0052
1703.79,1712.77,1712.89,1699.76,94740000.0,-0.0068000000000000005
1702.41,1701.72,1702.81,1698.26,77590000.0,-0.0008
